asset_group,finding,event,detail
tradfi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"  DIVERGENT_EMPTY                             8,486 ❌"
tradfi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-08-19 08:10:09,696 WARNING DIVERGENT_EMPTY asset_group=tradfi venue=NYSE data_type=ohlcv_1s date=2026-08-17"
tradfi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-08-19 08:10:09,696 WARNING DIVERGENT_EMPTY asset_group=tradfi venue=NYSE data_type=ohlcv_1s date=2026-08-18"
tradfi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-08-19 08:10:09,696 WARNING DIVERGENT_EMPTY asset_group=tradfi venue=NYSE data_type=ohlcv_1s date=2026-08-19"
tradfi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"DIVERGENT_EMPTY:  8,486"
