asset_group,bucket,vm_shard,total_rows,v8_rows,v_lt_8_rows,null_rows,schema_versions_seen
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bybit-2023-light-20260505-152844.parquet,37,0,37,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bybit-2026-light-20260505-152844.parquet,37,0,37,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2021-heavy-20260501-185156.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2021-20260505-170439.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2022-20260505-203928.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2023-20260506-005356.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2025-20260506-005356.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2026-20260505-170439.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2026-20260506-005356.parquet,37,0,37,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2026-20260506-085858.parquet,37,0,37,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2026-eth-usd--20260506-212742.parquet,36,0,36,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2026-heavy-20260506-204954.parquet,36,0,36,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-upbit-2025-heavy.parquet,36,0,36,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2020-20260505-170439.parquet,36,0,36,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2020-20260503-123258.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2021-20260503-123258.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2023-20260503-123258.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2024-20260503-123258.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2024-20260506-125828.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2025-20260503-123258.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mdps-tradfi-2026-20260503-123258.parquet,35,0,35,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-gbtc-2024-20260504-232835.parquet,35,0,35,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2022-heavy-20260507-185804.parquet,34,0,34,0,7
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-bito-2024-20260504-232835.parquet,34,0,34,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2021-heavy-20260507-185725.parquet,33,0,33,0,7
prediction,market-data-tick-pred-prd-central-element-323112,mtds-prediction-20260430-024407.parquet,33,0,33,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-spot-2026-heavy-20260507-194933.parquet,32,0,32,0,7
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260506-083524.parquet,32,0,32,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-2020-20260505-082706.parquet,32,0,32,0,6
sports,instruments-store-sports-prd-central-element-323112,local-57763-4f5c.parquet,31,0,31,0,6
sports,instruments-store-sports-prd-central-element-323112,local-57763-e64a.parquet,31,0,31,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2022-heavy-20260506-175906.parquet,30,0,30,0,6
