asset_group,bucket,vm_shard,total_rows,v8_rows,v_lt_8_rows,null_rows,schema_versions_seen
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2026-heavy-20260507-151732.parquet,7,0,7,0,7
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260101_a6de52.parquet,7,0,7,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260216_9bcb55.parquet,7,0,7,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260222_faf6c6.parquet,7,0,7,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260308_6e5779.parquet,7,0,7,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260330_7a8522.parquet,7,0,7,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-heavy-2024-06-20260430-030758.parquet,7,0,7,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-light-2023-w2-20260430-030851.parquet,7,0,7,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-light-2025-20260430-031427.parquet,7,0,7,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-spot-partpath-20260501-183015.parquet,6,0,6,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-spot-partpath2-20260501-183610.parquet,6,0,6,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2023-heavy-20260504-194229.parquet,6,0,6,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2025-heavy-20260504-194338.parquet,6,0,6,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2025-heavy-20260507-151634.parquet,6,0,6,0,7
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2026-heavy-20260506-162249.parquet,6,0,6,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20250513_6e8313.parquet,6,0,6,0,6
