asset_group,finding,event,detail
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"  DIVERGENT_EMPTY                            23,451 ❌"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-07-06 19:36:14,182 WARNING DIVERGENT_EMPTY asset_group=cefi venue=UPBIT data_type=book_snapshot_5 date=2024-12-29"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-07-06 19:36:14,182 WARNING DIVERGENT_EMPTY asset_group=cefi venue=UPBIT data_type=book_snapshot_5 date=2024-12-30"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,82 WARNING DIVERGENT_EMPTY asset_group=cefi venue=UPBIT data_type=book_snapshot_5 date=2024-12-28
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"DIVERGENT_EMPTY:  23,451"
cefi,schema_version_not_v9,DP_NOT_V9,"344842/7219598 rows non-v9 (legacy_version=344842, missing=0, contaminated=0); dist={'9': 6874756, '5': 178484, '6': 132960, '4': 33398}"
