asset_group,finding,event,detail
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"  DIVERGENT_EMPTY                            20,289 ❌"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-06-29 06:05:36,058 WARNING DIVERGENT_EMPTY asset_group=cefi venue=OKX-SWAP data_type=trades date=2026-05-21"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"2026-06-29 06:05:36,058 WARNING DIVERGENT_EMPTY asset_group=cefi venue=OKX-SWAP data_type=trades date=2026-05-22"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"6-06-29 06:05:36,058 WARNING DIVERGENT_EMPTY asset_group=cefi venue=OKX-SWAP data_type=trades date=2026-05-20"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"DIVERGENT_EMPTY:  20,289"
cefi,phantom_captured_no_parquet,DP_PHANTOM_ROWS,"2026-06-29 06:14:12,585 INFO Phantom distribution by data_type (top 15):"
cefi,phantom_captured_no_parquet,DP_PHANTOM_ROWS,"2026-06-29 06:14:12,585 INFO Phantom distribution by venue (top 15):"
cefi,phantom_captured_no_parquet,DP_PHANTOM_ROWS,"2026-06-29 06:14:12,725 INFO Triage JSONL written: gs://central-element-323112-phantom-triage/triage_cefi_20260629_061412.jsonl (781 records)"
cefi,schema_version_not_v9,DP_NOT_V9,"349634/5715374 rows non-v9 (legacy_version=349634, missing=0, contaminated=0); dist={'9': 5365740, '5': 180013, '6': 136223, '4': 33398}"
