asset_group,finding,event,detail
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"BINANCE-FUTURES/book_snapshot_5 1,994"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"BINANCE-SPOT/book_snapshot_5 2,065"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"BYBIT/book_snapshot_5 2,064"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"COINBASE-SPOT/trades 2,085"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"KRAKEN-SPOT/book_snapshot_5 2,061"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"KRAKEN-SPOT/trades 2,063"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"OKX-SPOT/book_snapshot_5 2,359"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"OKX-SPOT/trades 2,296"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"OKX-SWAP/book_snapshot_5 2,160"
cefi,oracle_expects_but_empty,DP_DIVERGENT_EMPTY,"OKX-SWAP/trades 2,218"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"BYBIT/futures_chain 2,547"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"COINBASE-FUTURES/book_snapshot_5 2,928"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"COINBASE-FUTURES/derivative_ticker 3,050"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"COINBASE-FUTURES/futures_chain 3,150"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"COINBASE-FUTURES/liquidations 3,050"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"COINBASE-FUTURES/trades 2,206"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"COINBASE-SPOT/book_snapshot_5 2,304"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"DERIBIT/futures_chain 2,657"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"DERIBIT/liquidations 2,686"
cefi,oracle_expects_no_manifest_row,DP_DIVERGENT_EMPTY,"DERIBIT/options_chain 2,202"
cefi,schema_version_not_v9,DP_NOT_V9,"1/29938146 rows non-v9 (legacy_version=0, missing=1, contaminated=0); dist={'None': 1, '9.0': 29938145}"
